,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
475,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
476,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
665,0.0,0.75,0.0,0,3.25,8.75,0,2.25,6.0,7.75,6.75,1.5,0,1.0,0,0,0,0,0,0,0,0,0
666,0.75,2.75,0.5,0,4.0,7.0,0,0.5,0.5,2.5,1.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
667,0.0,1.5,0.0,0,3.25,2.25,0,2.0,2.0,2.75,3.25,0.0,0,0.5,0,0,0,0,0,0,0,0,0
668,0.0,1.5,0.0,0,2.5,3.75,0,3.25,0.5,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
669,0.0,1.0,0.0,0,1.75,2.75,0,0.5,3.0,0.5,1.25,0.0,0,0.5,0,0,0,0,0,0,0,0,0
670,0.0,1.75,0.0,0,3.0,3.5,0,1.25,0.0,2.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
671,0.0,1.0,0.0,0,3.25,4.5,0,1.75,1.0,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0
672,0.0,1.75,0.0,0,2.25,4.25,0,2.25,0.5,2.5,0.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0
673,0.0,1.5,0.0,0,2.75,2.5,0,0.5,2.75,1.0,1.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
674,0.0,1.25,0.0,0,3.0,3.5,0,1.75,0.5,0.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
675,0.0,2.0,0.0,0,2.25,2.0,0,0.25,3.5,0.75,0.75,0.0,0,0.5,0,0,0,0,0,0,0,0,0
676,5.25,2.25,0.5,0,6.75,7.25,0,3.0,2.0,6.0,1.25,0.0,0,0.25,0,0,0,0,0,0,0,0,0
809,0.0,0.25,0.0,0,2.25,1.75,0,0.5,5.125,8.25,4.5,0.0,0,2.125,0,0,0,0,0,0,0,0,0
810,0.0,1.25,0.0,0,1.75,3.25,0,1.0,9.0,1.75,3.0,0.0,0,1.0,0,0,0,0,0,0,0,0,0
811,0.0,1.0,0.0,0,5.0,3.25,0,2.0,3.75,0.5,5.5,0.5,0,0.0,0,0,0,0,0,0,0,0,0
812,0.0,0.0,0.0,0,1.0,1.75,0,0.75,2.25,4.0,4.5,1.0,0,2.5,0,0,0,0,0,0,0,0,0
813,0.75,2.5,0.5,0,11.25,12.25,0,5.5,2.25,8.5,3.25,0.0,0,0.5,0,0,0,0,0,0,0,0,0
814,0.0,2.75,0.0,0,2.5,2.0,0,1.5,3.75,1.75,2.5,0.0,0,0.5,0,0,0,0,0,0,0,0,0
815,1.5,5.0,1.0,0,15.25,6.25,0,2.5,3.75,2.25,1.5,0.0,0,0.25,0,0,0,0,0,0,0,0,0
816,0.0,3.25,0.0,0,4.75,3.75,0,1.5,5.0,3.25,0.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0
837,0.0,1.5,0.0,0,1.75,2.75,0,0.0,4.0,7.75,5.75,0.0,0,1.5,0,0,0,0,0,0,0,0,0
838,0.0,1.25,0.0,0,3.0,2.5,0,1.0,3.5,2.75,2.0,0.0,0,1.0,0,0,0,0,0,0,0,0,0
839,0.75,2.0,0.5,0,6.0,9.25,0,4.25,3.0,5.75,2.5,0.0,0,1.0,0,0,0,0,0,0,0,0,0
840,0.25,2.25,0.0,0,3.5,2.0,0,1.0,4.75,1.75,0.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0
841,0.75,0.75,0.0,0,5.25,5.75,0,1.0,4.75,4.25,5.25,1.0,0,0.25,0,0,0,0,0,0,0,0,0
842,0.0,0.5,0.0,0,0.5,2.25,0,0.5,5.0,2.75,4.5,1.0,0,1.0,0,0,0,0,0,0,0,0,0
843,0.0,1.0,0.0,0,0.75,1.25,0,0.0,4.0,6.0,10.0,0.0,0,0.5,0,0,0,0,0,0,0,0,0
844,0.0,1.0,0.0,0,2.5,3.0,0,1.0,4.25,2.75,1.0,0.0,0,1.5,0,0,0,0,0,0,0,0,0
845,0.75,2.75,0.0,0,8.75,8.75,0,3.75,4.25,7.5,1.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0
